0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,16,19,23,37,43,40,63,64,31,12,31,74,74
0,16,0,33,17,32,57,54,77,78,50,24,44,87,87
0,19,33,0,21,31,26,23,47,47,41,12,14,73,86
0,23,17,21,0,17,47,44,67,68,59,16,34,94,98
0,37,32,31,17,0,49,38,70,71,66,30,41,97,112
0,43,57,26,47,49,0,15,25,29,28,37,14,52,80
0,40,54,23,44,38,15,0,33,34,39,34,17,60,87
0,63,77,47,67,70,25,33,0,24,54,57,37,26,55
0,64,78,47,68,71,29,34,24,0,56,58,37,41,59
0,31,50,41,59,66,28,39,54,56,0,49,26,63,63
0,12,24,12,16,30,37,34,57,58,49,0,24,83,88
0,31,44,14,34,41,14,17,37,37,26,24,0,64,81
0,74,87,73,94,97,52,60,26,41,63,83,64,0,26
0,74,87,86,98,112,80,87,55,59,63,88,81,26,0
